manufacturer,median,count
tesla,37990.0,836
ram,29995.0,16171
porsche,29950.0,1265
alfa-romeo,29590.0,857
jaguar,28990.0,1875
rover,26438.5,1938
audi,24990.0,7011
gmc,24224.0,15218
infiniti,21590.0,4406
acura,20369.5,5556
lexus,19999.0,7592
mercedes-benz,19800.0,10053
jeep,18900.0,16835
bmw,18500.0,13311
lincoln,18500.0,3999
cadillac,17590.0,6478
ford,17000.0,63853
chevrolet,16000.0,49584
mitsubishi,15990.0,3008
toyota,13995.0,30926
volvo,13991.0,3253
mini,12998.0,2214
buick,12995.0,5102
dodge,12500.0,11715
volkswagen,12495.0,8513
subaru,11995.0,8773
kia,11988.0,7309
hyundai,10911.0,9128
fiat,10675.0,754
nissan,10500.0,16950
mazda,10225.0,4930
honda,9250.0,19409
chrysler,7999.0,5529
pontiac,4995.0,2210
mercury,4500.0,1081
saturn,4235.5,1060
