,missing_n,missing_pct
county,426880,100.0
size,306361,71.7674756371814
cylinders,177678,41.6224700149925
condition,174104,40.78523238380809
VIN,161042,37.725356071964015
drive,130567,30.586347451274364
paint_color,130203,30.501077586206897
type,92858,21.752717391304348
manufacturer,17646,4.133714392803598
title_status,8242,1.9307533733133433
lat,6549,1.5341547976011993
long,6549,1.5341547976011993
model,5277,1.2361787856071964
odometer,4400,1.0307346326836582
fuel,3013,0.7058189655172413
transmission,2556,0.5987631184407796
year,1205,0.28228073463268366
description,70,0.016398050974512742
image_url,68,0.015929535232383808
posting_date,68,0.015929535232383808
url,0,0.0
price,0,0.0
state,0,0.0
region_url,0,0.0
region,0,0.0
id,0,0.0
