state,median,count
wv,25990.0,999
ak,22900.0,3419
mt,22900.0,5979
wa,20999.0,11944
al,20495.0,4665
ut,19999.0,1123
hi,19995.0,2548
mo,19990.0,3880
wy,19977.0,573
nm,18990.0,3770
ga,18969.0,6260
sc,18950.0,5631
ar,18910.0,3230
tx,18900.0,21064
ok,18298.0,5572
tn,18000.0,10441
la,17990.0,2712
nv,17990.0,3039
id,17661.5,7928
nc,16998.0,12558
ky,16995.0,4037
in,16995.0,5450
az,16990.0,8151
nd,16990.0,389
ks,16500.0,5926
md,16499.0,4311
co,16089.0,10371
fl,15590.0,25966
sd,15500.0,1235
ca,15000.0,44039
ny,15000.0,17619
or,14999.0,12912
vt,14995.0,2342
il,14990.0,9490
mn,14499.0,7225
ms,14000.0,959
ne,13995.0,1016
ia,13995.0,8079
nh,13995.0,2711
wi,13990.0,10979
dc,12999.5,2650
va,12995.0,8719
me,12969.0,2436
ma,12900.0,7664
oh,12300.0,16357
ri,12000.0,2272
nj,11973.0,9202
pa,11900.0,12764
mi,11900.0,16108
ct,10500.0,4962
de,10497.0,882
